state,region,stuntingperbelowminus3sd,Stunting Percentage Below -2SD,stuntingmeanzscore,wastingperbelowminus3sd,Wasting Percentage Below -2SD,wastingabove2sd,wastingmeanzscore,underweightperbelowminus3sd,Underweight Percentage Below -2SD,underweightperabove2sd,underweightmeanzscore,Stunting Rank,Wasting Rank,Underweight Rank,Total Score
Mizoram,Northeast,11.9,28.9,-1,4.9,9.8,10,0,3.3,12.7,3.3,-0.6,15,1,1,17
Sikkim,Northeast,11.6,22.3,-0.6,6.6,13.6,9.6,-0.2,6.7,13.1,2.2,-0.7,1,10,2,13
Manipur,Northeast,7.3,23.4,-1,3.4,9.9,3.3,-0.4,3.3,13.3,0.9,-0.9,5,2,3,10
Arunachal Pradesh,Northeast,12.4,28,-0.9,6.5,13.1,9.6,-0.1,6,15.4,4,-0.6,13,8,4,25
Punjab,North,9,24.5,-1,3.6,10.6,4.1,-0.4,4.3,16.9,1.7,-0.9,7,3,5,15
Kerala,South,7.1,23.4,-0.9,5.8,15.8,4,-0.7,4.6,19.7,1.2,-1.1,4,13,6,23
Uttarakhand,North,10.6,27,-1,4.7,13.2,4.1,-0.5,6.7,21,1.6,-1,11,9,7,27
Haryana,North,10.6,27.5,-1.2,4.4,11.5,3.3,-0.6,5.9,21.5,1.1,-1.1,12,6,8,26
Andaman and Nicobar Islands,South,6.9,23.3,-1,7.5,18.9,3,-0.8,4.4,21.5,1.1,-1.1,2,21,9,32
Delhi,North,11.1,30.9,-1.2,4.9,11.2,4,-0.5,5.9,21.8,1.3,-1.1,18,5,10,33
Tamil Nadu,South,9.2,25,-1,5.5,14.6,4.3,-0.7,6.2,22,1.3,-1.1,8,12,11,31
Puducherry,South,11,23.7,-0.9,7.8,23.6,2.2,-0.9,7,22,0.5,-1.1,6,32,12,50
Lakshadweep,South,6.2,26.8,-1.4,2.9,13.7,1.6,-0.7,5.6,23.6,0,-1.2,10,11,13,34
Goa,West,8.1,25.8,-1,7.5,19.1,2.8,-1,6.6,24,0.9,-1.3,9,24,14,47
Chandigarh,North,7,28.7,-1.2,3.9,10.9,1.1,-0.9,5.8,24.5,0,-1.3,14,4,15,33
Himachal Pradesh,North,13.7,30.8,-1.2,6.9,17.4,5.7,-0.7,7.4,25.5,1.2,-1.2,16,17,16,49
Jammu and Kashmir,North,13.7,30.8,-1.2,6.9,17.4,5.7,-0.7,7.4,25.5,1.2,-1.2,17,18,17,52
Tripura,Northeast,15.7,32.3,-1.2,7.3,18.2,8.2,-0.5,8.7,25.6,1.4,-1.2,22,20,18,60
Meghalaya,Northeast,22,46.5,-1.7,4.7,12.1,4,-0.4,7.4,26.6,1.2,-1.3,36,7,19,62
Daman and Diu,West,8,23.4,-0.6,11.9,24.1,2.1,-1.2,4.8,26.7,2,-1.2,3,33,20,56
Nagaland,Northeast,14.9,32.7,-1,7.9,19.1,4.9,-0.7,8.1,26.9,1.6,-1.1,23,25,21,69
Rajasthan,North,12.8,31.8,-1.2,7.6,16.8,3.3,-0.7,9.4,27.6,0.8,-1.3,21,15,22,58
Andhra Pradesh,South,11.3,31.2,-1.3,6,16.1,2.7,-0.9,8.8,29.6,1.1,-1.4,20,14,23,57
Odisha,East,11.4,31,-1.2,6.1,18.1,3.5,-0.8,8.4,29.7,1.3,-1.4,19,19,24,62
Chhattisgarh,Central,14.3,34.6,-1.3,7.5,18.9,4,-0.9,9.9,31.3,1.4,-1.4,26,22,25,73
Telangana,South,13.5,33.1,-1.2,8.5,21.7,3.4,-1,10.3,31.8,1.1,-1.5,24,28,26,78
Uttar Pradesh,Central,17.9,39.7,-1.5,7.3,17.3,3.1,-0.8,11.1,32.1,0.8,-1.5,33,16,27,76
West Bengal,East,14.3,33.8,-1.3,7.1,20.3,4.3,-0.9,10.2,32.2,0.9,-1.5,25,27,28,80
Assam,Northeast,15.7,35.3,-1.3,9,21.7,4.8,-0.9,11.5,32.8,1.5,-1.5,28,29,29,86
Karnataka,South,14.9,35.4,-1.2,8.4,19.5,3.2,-0.9,10.6,32.9,1.2,-1.5,29,26,30,85
Madhya Pradesh,Central,14,35.7,-1.4,6.5,18.9,2,-0.9,10.8,33,0.7,-1.5,30,23,31,84
Maharashtra,West,14.4,35.2,-1.2,10.9,25.6,4.1,-1.1,12.6,36.1,1.3,-1.6,27,35,32,94
Dadra and Nagar Haveli,West,19.7,41.7,-1.5,11.4,27.6,4.5,-1.1,11.3,38.8,0.4,-1.6,34,36,33,103
Jharkhand,East,17.7,39.6,-1.5,9.1,22.4,2.8,-1,14.3,39.4,0.9,-1.7,32,30,34,96
Gujarat,West,18.3,39,-1.4,10.6,25.1,3.9,-1.1,14.5,39.7,0.8,-1.7,31,34,35,100
Bihar,East,20,42.9,-1.6,8.8,22.9,2.4,-1.1,13.9,41,0.6,-1.7,35,31,36,102
